ANIMAL_ID,SIRE_ID,DAM_ID
010000001026351211F,630000017503888011M,010000000979889711F
DUMMYHUK1907M,DUMMYHUK83M,010000000917151111F
DUMMYHUK1862M,630000079054553211M,010000000919497111F
DUMMYHUK2518F,630000016215264111M,010000000960267011F
DUMMYHUK2823F,010000000059827811M,010000000960267011F
DUMMYHUK2465M,*,010000000965026411F
010000001152745611F,600000057889174811M,010000001111535111F
DUMMYHUK4011M,010000000062249211M,010000001199001611F
DUMMYHUK2511M,720000111503103811M,010000000982469211F
DUMMYHUK1361F,650000000207350511M,010000000851678011F
010000000982469611F,120000000000298411M,010000000917150911F
DUMMYHUK2199M,120000000000298411M,010000000924984911F
010000001015752111F,630000083137519511M,010000000928757611F
010000000985697911F,630000079054553211M,010000000942495011F
DUMMYHUK2333M,650000000228954811M,010000000942495011F
DUMMYHUK4170F,650000013296773411M,010000001197086311F
010000001071943811F,630000022753720611M,010000001015386411F
010000001207666711F,650000013227754111M,010000001170391011F
010000000988412911F,120000000000298411M,010000000893469611F
DUMMYHUK2267M,650000000225721211M,010000000948081511F
010000001239728711F,010000000061448511M,010000001129881411F
DUMMYHUK4127M,650000013296773411M,010000001207666711F
DUMMYHUK1893M,640000000032809811M,010000000853597711F
010000000991506811F,010000000046116511M,010000000853597711F
010000001174450311F,600000034721383611M,010000001088417911F
DUMMYHUK1808F,650000000202004911M,010000000851678011F
010000001082003411F,710000569502684311M,010000000982469811F
DUMMYHUK2623M,710000569502684311M,010000000986303111F
DUMMYHUK288F,640000000032081711M,010000000396940611F
DUMMYHUK3108M,600000034546181811M,010000001074384011F
DUMMYHUK2851M,710000369710405511M,010000001074384011F
DUMMYHUK2200F,DUMMYHUK83M,010000000966696211F
DUMMYHUK4008F,010000000063052611M,010000001177662011F
010000000982468411F,650000000218300711M,010000000914994611F
DUMMYHUK2037M,010000000046116511M,010000000942494311F
DUMMYHUK2696M,010000000058695011M,010000000985697911F
DUMMYHUK2360M,630000083938054611M,010000000985697911F
DUMMYHUK2453M,*,010000001003496111F
010000001130386411F,650000000228486311M,010000001050116411F
010000001186192611F,650000013436109311M,010000001147167711F
010000001184422211F,630000078998045011M,010000001011792911F
DUMMYHUK2364M,630000083938054611M,010000000986302911F
010000001050755411F,010000000057433411M,010000000986302911F
650000000168301911M,*,*
010000000005420711M,*,*
010000000005863111M,*,*
010000000006132511M,*,*
200000000029157111M,200000000022089511M,200000000140131411F
640000000019899811M,640000000015515911M,640000000055993811F
640000000022951211M,640000000019899811M,640000000058618511F
640000000026715011M,640000000019899811M,640000000054709911F
200000000018761311M,200000000005911311M,200000000037603811F
200000000004858311M,200000000003978311M,010000000014709411F
650000000176456411M,650000000158319711M,650000000906775111F
650000000192080711M,650000000166736611M,650000000963326211F
630000078018066411M,650000000192941011M,650000001295134811F
